Entity,Code,Year,Renewables per capita (kWh)
Austria,AUT,2016,15358.388
Austria,AUT,2017,15106.749
Austria,AUT,2018,14624.099
Austria,AUT,2019,15679.611
Azerbaijan,AZE,1985,546.956
Azerbaijan,AZE,1986,329.585
Azerbaijan,AZE,1987,324.134
Azerbaijan,AZE,1988,276.694
Azerbaijan,AZE,1989,272.152
Azerbaijan,AZE,1990,635.863
Azerbaijan,AZE,1991,664.168
Azerbaijan,AZE,1992,649.574
Azerbaijan,AZE,1993,888.802
Azerbaijan,AZE,1994,661.548
Azerbaijan,AZE,1995,555.913
Azerbaijan,AZE,1996,543.463
Azerbaijan,AZE,1997,599.995
Azerbaijan,AZE,1998,678.279
Azerbaijan,AZE,1999,519.411
Azerbaijan,AZE,2000,524.574
Azerbaijan,AZE,2001,438.017
Azerbaijan,AZE,2002,669.169
Azerbaijan,AZE,2003,804.829
Azerbaijan,AZE,2004,882.685
Azerbaijan,AZE,2005,947.993
Azerbaijan,AZE,2006,779.897
Azerbaijan,AZE,2007,719.782
Azerbaijan,AZE,2008,667.868
Azerbaijan,AZE,2009,679.236
Azerbaijan,AZE,2010,995.025
Azerbaijan,AZE,2011,758.172
Azerbaijan,AZE,2012,506.256
Azerbaijan,AZE,2013,424.943
Azerbaijan,AZE,2014,372.634
Azerbaijan,AZE,2015,456.793
Azerbaijan,AZE,2016,543.628
Azerbaijan,AZE,2017,480.155
Azerbaijan,AZE,2018,492.208
Azerbaijan,AZE,2019,449.54
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,7.296
Bangladesh,BGD,1973,13.594
Bangladesh,BGD,1974,9.819
Bangladesh,BGD,1975,17.285
Bangladesh,BGD,1976,19.151
Bangladesh,BGD,1977,16.524
Bangladesh,BGD,1978,18.629
Bangladesh,BGD,1979,21.032
Bangladesh,BGD,1980,20.335
Bangladesh,BGD,1981,21.232
Bangladesh,BGD,1982,17.309
Bangladesh,BGD,1983,21.347
Bangladesh,BGD,1984,28.181
Bangladesh,BGD,1985,22.617
Bangladesh,BGD,1986,13.414
Bangladesh,BGD,1987,15.011
Bangladesh,BGD,1988,19.096
Bangladesh,BGD,1989,25.379
Bangladesh,BGD,1990,23.801
Bangladesh,BGD,1991,22.044
Bangladesh,BGD,1992,20.476
Bangladesh,BGD,1993,15.305
Bangladesh,BGD,1994,20.869
Bangladesh,BGD,1995,8.972
Bangladesh,BGD,1996,17.448
Bangladesh,BGD,1997,16.621
Bangladesh,BGD,1998,19.585
Bangladesh,BGD,1999,18.483
Bangladesh,BGD,2000,16.298
Bangladesh,BGD,2001,21.066
Bangladesh,BGD,2002,15.504
Bangladesh,BGD,2003,15.157
Bangladesh,BGD,2004,14.839
Bangladesh,BGD,2005,14.556
Bangladesh,BGD,2006,14.34
Bangladesh,BGD,2007,14.143
Bangladesh,BGD,2008,17.709
Bangladesh,BGD,2009,8.058
Bangladesh,BGD,2010,13.788
Bangladesh,BGD,2011,16.293
Bangladesh,BGD,2012,14.959
Bangladesh,BGD,2013,14.548
Bangladesh,BGD,2014,12.262
Bangladesh,BGD,2015,17.95
Bangladesh,BGD,2016,17.671
Bangladesh,BGD,2017,20.613
Bangladesh,BGD,2018,18.112
Bangladesh,BGD,2019,19.083
Belarus,BLR,1985,5.611
Belarus,BLR,1986,5.575
Belarus,BLR,1987,5.541
Belarus,BLR,1988,5.511
Belarus,BLR,1989,5.488
Belarus,BLR,1990,5.473
Belarus,BLR,1991,4.921
Belarus,BLR,1992,4.651
Belarus,BLR,1993,5.207
Belarus,BLR,1994,5.221
Belarus,BLR,1995,5.513
Belarus,BLR,1996,4.425
Belarus,BLR,1997,5.828
Belarus,BLR,1998,7.801
Belarus,BLR,1999,5.318
Belarus,BLR,2000,7.597
Belarus,BLR,2001,8.439
Belarus,BLR,2002,8.159
Belarus,BLR,2003,7.881
Belarus,BLR,2004,9.573
Belarus,BLR,2005,10.408
Belarus,BLR,2006,10.673
Belarus,BLR,2007,14.008
Belarus,BLR,2008,20.385
Belarus,BLR,2009,29.48
Belarus,BLR,2010,35.979
Belarus,BLR,2011,38.81
Belarus,BLR,2012,47.319
Belarus,BLR,2013,62.05
Belarus,BLR,2014,56.931
Belarus,BLR,2015,67.807
Belarus,BLR,2016,89.187
Belarus,BLR,2017,184.392
Belarus,BLR,2018,170.898
Belarus,BLR,2019,173.958
Belgium,BEL,1965,80.004
Belgium,BEL,1966,87.528
Belgium,BEL,1967,69.379
Belgium,BEL,1968,70.853
Belgium,BEL,1969,66.551
Belgium,BEL,1970,70.944
Belgium,BEL,1971,38.52
Belgium,BEL,1972,51.584
Belgium,BEL,1973,82.01
Belgium,BEL,1974,99.176
Belgium,BEL,1975,75.613
Belgium,BEL,1976,47.076
Belgium,BEL,1977,133.272
Belgium,BEL,1978,136.39
Belgium,BEL,1979,154.76
Belgium,BEL,1980,162.687
Belgium,BEL,1981,188.915
Belgium,BEL,1982,106.449
Belgium,BEL,1983,100.469
Belgium,BEL,1984,105.155
Belgium,BEL,1985,95.235
Belgium,BEL,1986,129.251
Belgium,BEL,1987,161.213
Belgium,BEL,1988,152.57
Belgium,BEL,1989,140.002
Belgium,BEL,1990,154.059
Belgium,BEL,1991,148.311
Belgium,BEL,1992,170.063
Belgium,BEL,1993,139.177
Belgium,BEL,1994,164.107
Belgium,BEL,1995,182.167
Belgium,BEL,1996,152.658
Belgium,BEL,1997,159.755
Belgium,BEL,1998,205.952
Belgium,BEL,1999,230.24
Belgium,BEL,2000,282.047
Belgium,BEL,2001,287.501
Belgium,BEL,2002,301.044
Belgium,BEL,2003,311.684
Belgium,BEL,2004,386.679
Belgium,BEL,2005,537.108
Belgium,BEL,2006,743.062
Belgium,BEL,2007,865.554
Belgium,BEL,2008,1081.959
Belgium,BEL,2009,1455.479
Belgium,BEL,2010,1929.311
Belgium,BEL,2011,2345.488
Belgium,BEL,2012,2797.62
Belgium,BEL,2013,3040.626
Belgium,BEL,2014,3212.805
Belgium,BEL,2015,3520.278
Belgium,BEL,2016,3626.346
Belgium,BEL,2017,3956.438
Belgium,BEL,2018,4188.777
Belgium,BEL,2019,4530.155
Brazil,BRA,1965,850.086
Brazil,BRA,1966,904.544
Brazil,BRA,1967,920.994
Brazil,BRA,1968,938.865
Brazil,BRA,1969,979.128
Brazil,BRA,1970,1177.422
Brazil,BRA,1971,1249.005
Brazil,BRA,1972,1429.727
Brazil,BRA,1973,1592.928
Brazil,BRA,1974,1763.249
Brazil,BRA,1975,1895.297
Brazil,BRA,1976,2119.618
Brazil,BRA,1977,2337.285
Brazil,BRA,1978,2511.32
Brazil,BRA,1979,2789.044
Brazil,BRA,1980,3008.357
Brazil,BRA,1981,2981.637
Brazil,BRA,1982,3146.967
Brazil,BRA,1983,3314.467
Brazil,BRA,1984,3555.415
Brazil,BRA,1985,3725.818
Brazil,BRA,1986,3733.225
Brazil,BRA,1987,3729.528
Brazil,BRA,1988,3915.07
Brazil,BRA,1989,3950.283
Brazil,BRA,1990,4382.485
Brazil,BRA,1991,4530.558
Brazil,BRA,1992,4560.862
Brazil,BRA,1993,4713.072
Brazil,BRA,1994,4807.108
Brazil,BRA,1995,4942.128
Brazil,BRA,1996,5103.937
Brazil,BRA,1997,5237.717
Brazil,BRA,1998,5356.075
Brazil,BRA,1999,5317.034
Brazil,BRA,2000,5349.714
Brazil,BRA,2001,4674.266
Brazil,BRA,2002,4929.479
Brazil,BRA,2003,5137.103
Brazil,BRA,2004,5320.681
Brazil,BRA,2005,5520.577
Brazil,BRA,2006,5580.398
Brazil,BRA,2007,6051.149
Brazil,BRA,2008,6113.883
Brazil,BRA,2009,6425.38
Brazil,BRA,2010,6681.251
Brazil,BRA,2011,6855.265
Brazil,BRA,2012,6619.196
Brazil,BRA,2013,6427.952
Brazil,BRA,2014,6353.726
Brazil,BRA,2015,6420.413
Brazil,BRA,2016,6658.975
Brazil,BRA,2017,6634.846
Brazil,BRA,2018,7046.457
Brazil,BRA,2019,7348.965
Bulgaria,BGR,1965,675.612
Bulgaria,BGR,1966,673.991
Bulgaria,BGR,1967,673.22
Bulgaria,BGR,1968,431.548
Bulgaria,BGR,1969,604.179
Bulgaria,BGR,1970,702.607
Bulgaria,BGR,1971,704.262
Bulgaria,BGR,1972,675.973
Bulgaria,BGR,1973,824.734
Bulgaria,BGR,1974,664.189
Bulgaria,BGR,1975,779.8
Bulgaria,BGR,1976,935.32
Bulgaria,BGR,1977,1113.7
Bulgaria,BGR,1978,915.333
Bulgaria,BGR,1979,1038.883
Bulgaria,BGR,1980,1161.606
Bulgaria,BGR,1981,1128.58
Bulgaria,BGR,1982,948.632
Bulgaria,BGR,1983,1040.31
Bulgaria,BGR,1984,1009.651
Bulgaria,BGR,1985,692.356
Bulgaria,BGR,1986,720.062
Bulgaria,BGR,1987,786.433
Bulgaria,BGR,1988,806.883
Bulgaria,BGR,1989,840.077
Bulgaria,BGR,1990,590.054
Bulgaria,BGR,1991,773.419
Bulgaria,BGR,1992,660.507
Bulgaria,BGR,1993,629.017
Bulgaria,BGR,1994,481.154
Bulgaria,BGR,1995,767.13
Bulgaria,BGR,1996,977.851
Bulgaria,BGR,1997,931.564
Bulgaria,BGR,1998,1057.113
Bulgaria,BGR,1999,947.964
Bulgaria,BGR,2000,928.358
Bulgaria,BGR,2001,604.422
Bulgaria,BGR,2002,764.787
Bulgaria,BGR,2003,1057.418
Bulgaria,BGR,2004,1107.619
Bulgaria,BGR,2005,1519.376
Bulgaria,BGR,2006,1491.476
Bulgaria,BGR,2007,1024.009
Bulgaria,BGR,2008,1039.201
Bulgaria,BGR,2009,1305.06
Bulgaria,BGR,2010,2032.515
Bulgaria,BGR,2011,1381.951
Bulgaria,BGR,2012,1870.885
Bulgaria,BGR,2013,2432.657
Bulgaria,BGR,2014,2595.063
Bulgaria,BGR,2015,3080.053
Bulgaria,BGR,2016,2498.836
Bulgaria,BGR,2017,2158.236
Bulgaria,BGR,2018,3277.59
Bulgaria,BGR,2019,2728.666
Canada,CAN,1965,16711.967
Canada,CAN,1966,18216.319
Canada,CAN,1967,18303.144
Canada,CAN,1968,18299.088
Canada,CAN,1969,19901.984
Canada,CAN,1970,20551.595
Canada,CAN,1971,20774.337
Canada,CAN,1972,22859.423
Canada,CAN,1973,24122.507
Canada,CAN,1974,25727.01
Canada,CAN,1975,24390.352
Canada,CAN,1976,25380.738
Canada,CAN,1977,26000.228
Canada,CAN,1978,27471.689
Canada,CAN,1979,28221.123
Canada,CAN,1980,28719.54
Canada,CAN,1981,30168.776
Canada,CAN,1982,28977.785
Canada,CAN,1983,29579.588
Canada,CAN,1984,31490.604
Canada,CAN,1985,32943.101
Canada,CAN,1986,33289.578
Canada,CAN,1987,33472.391
Canada,CAN,1988,32115.659
Canada,CAN,1989,30040.348
Canada,CAN,1990,30221.557
Canada,CAN,1991,31002.084
Canada,CAN,1992,31464.648
Canada,CAN,1993,31826.73
Canada,CAN,1994,32112.722
Canada,CAN,1995,32503.992
Canada,CAN,1996,34153.029
Canada,CAN,1997,33334.554
Canada,CAN,1998,31451.894
Canada,CAN,1999,32460.985
Canada,CAN,2000,33233.606
Canada,CAN,2001,30523.552
Canada,CAN,2002,31637.947
Canada,CAN,2003,29959.446
Canada,CAN,2004,29708.783
Canada,CAN,2005,31167.271
Canada,CAN,2006,30083.849
Canada,CAN,2007,30809.373
Canada,CAN,2008,31077.451
Canada,CAN,2009,30164.842
Canada,CAN,2010,28588.883
Canada,CAN,2011,30207.807
Canada,CAN,2012,30265.87
Canada,CAN,2013,30707.651
Canada,CAN,2014,29656.863
Canada,CAN,2015,30212.169
Canada,CAN,2016,30369.308
Canada,CAN,2017,30576.563
Canada,CAN,2018,29640.321
Canada,CAN,2019,29169.151
Chile,CHL,1965,1221.729
Chile,CHL,1966,1264.917
Chile,CHL,1967,1269.271
Chile,CHL,1968,1045.811
Chile,CHL,1969,1161.328
Chile,CHL,1970,1222.927
Chile,CHL,1971,1361.931
Chile,CHL,1972,1590.955
Chile,CHL,1973,1527.698
Chile,CHL,1974,1707.313
Chile,CHL,1975,1688.645
Chile,CHL,1976,1722.91
Chile,CHL,1977,1792.6
Chile,CHL,1978,1839.161
Chile,CHL,1979,1861.396
Chile,CHL,1980,1940.238
Chile,CHL,1981,1981.045
Chile,CHL,1982,2140.811
Chile,CHL,1983,2290.945
Chile,CHL,1984,2340.345
Chile,CHL,1985,2552.965
Chile,CHL,1986,2702.789
Chile,CHL,1987,2876.869
Chile,CHL,1988,2785.78
Chile,CHL,1989,2310.882
Chile,CHL,1990,2072.491
Chile,CHL,1991,2916.443
Chile,CHL,1992,3742.137
Chile,CHL,1993,3778.203
Chile,CHL,1994,3680.857
Chile,CHL,1995,3919.669
Chile,CHL,1996,3544.153
Chile,CHL,1997,3886.215
Chile,CHL,1998,3170.997
Chile,CHL,1999,2752.866
Chile,CHL,2000,3703.707
Chile,CHL,2001,4156.689
Chile,CHL,2002,4366.226
Chile,CHL,2003,4177.64
Chile,CHL,2004,3888.582
Chile,CHL,2005,4549.751
Chile,CHL,2006,4846.308
Chile,CHL,2007,4024.079
Chile,CHL,2008,4406.829
Chile,CHL,2009,4451.15
Chile,CHL,2010,3896.19
Chile,CHL,2011,3783.598
Chile,CHL,2012,3930.835
Chile,CHL,2013,3985.635
Chile,CHL,2014,4290.021
Chile,CHL,2015,4598.371
Chile,CHL,2016,4338.646
Chile,CHL,2017,4912.91
Chile,CHL,2018,5471.402
Chile,CHL,2019,5545.801
China,CHN,1965,84.754
China,CHN,1966,84.132
China,CHN,1967,70.606
China,CHN,1968,81.024
China,CHN,1969,80.162
China,CHN,1970,80.679
China,CHN,1971,95.156
China,CHN,1972,105.27
China,CHN,1973,115.007
China,CHN,1974,127.428
China,CHN,1975,130.788
China,CHN,1976,130.225
China,CHN,1977,133.784
China,CHN,1978,123.506
China,CHN,1979,136.775
China,CHN,1980,161.711
China,CHN,1981,179.465
China,CHN,1982,201.085
China,CHN,1983,230.276
China,CHN,1984,227.895
China,CHN,1985,238.597
China,CHN,1986,239.847
China,CHN,1987,248.944
China,CHN,1988,266.536
China,CHN,1989,283.949
China,CHN,1990,299.312
China,CHN,1991,290.526
China,CHN,1992,301.401
China,CHN,1993,346.829
China,CHN,1994,380.025
China,CHN,1995,434.752
China,CHN,1996,420.796
China,CHN,1997,437.823
China,CHN,1998,440.563
China,CHN,1999,432.628
China,CHN,2000,485.493
China,CHN,2001,596.405
China,CHN,2002,611.502
China,CHN,2003,596.261
China,CHN,2004,735.486
China,CHN,2005,823.615
China,CHN,2006,900.013
China,CHN,2007,998.242
China,CHN,2008,1309.142
China,CHN,2009,1293.615
China,CHN,2010,1511.048
China,CHN,2011,1507.158
China,CHN,2012,1877.702
China,CHN,2013,2031.559
China,CHN,2014,2371.355
China,CHN,2015,2522.11
China,CHN,2016,2726.705
China,CHN,2017,2951.805
China,CHN,2018,3216.635
China,CHN,2019,3476.801
Colombia,COL,1965,525.731
Colombia,COL,1966,567.258
Colombia,COL,1967,614.597
Colombia,COL,1968,666.184
Colombia,COL,1969,721.301
Colombia,COL,1970,782.737
Colombia,COL,1971,810.89
Colombia,COL,1972,877.774
Colombia,COL,1973,934.172
Colombia,COL,1974,1037.575
Colombia,COL,1975,1145.15
Colombia,COL,1976,1177.172
Colombia,COL,1977,1174.892
Colombia,COL,1978,1325.252
Colombia,COL,1979,1422.545
Colombia,COL,1980,1515.23
Colombia,COL,1981,1462.518
Colombia,COL,1982,1529.107
Colombia,COL,1983,1509.116
Colombia,COL,1984,1647.407
Colombia,COL,1985,1735.036
Colombia,COL,1986,1962.486
Colombia,COL,1987,2093.959
Colombia,COL,1988,2164.177
Colombia,COL,1989,2315.554
Colombia,COL,1990,2330.258
Colombia,COL,1991,2303.578
Colombia,COL,1992,1825.379
Colombia,COL,1993,2235.886
Colombia,COL,1994,2524.805
Colombia,COL,1995,2476.168
Colombia,COL,1996,2680.954
Colombia,COL,1997,2353.261
Colombia,COL,1998,2267.296
Colombia,COL,1999,2432.946
Colombia,COL,2000,2194.856
Colombia,COL,2001,2202.757
Colombia,COL,2002,2311.86
Colombia,COL,2003,2408.723
Colombia,COL,2004,2499.91
Colombia,COL,2005,2509.353
Colombia,COL,2006,2671.005
Colombia,COL,2007,2722.794
Colombia,COL,2008,2790.016
Colombia,COL,2009,2460.407
Colombia,COL,2010,2411.071
Colombia,COL,2011,2836.884
Colombia,COL,2012,2753.59
Colombia,COL,2013,2528.43
Colombia,COL,2014,2530.181
Colombia,COL,2015,2488.157
Colombia,COL,2016,2557.325
Colombia,COL,2017,3040.812
Colombia,COL,2018,2952.289
Colombia,COL,2019,2653.083
Croatia,HRV,1990,2213.035
Croatia,HRV,1991,3431.959
Croatia,HRV,1992,2555.933
Croatia,HRV,1993,2701.506
Croatia,HRV,1994,3244.719
Croatia,HRV,1995,3422.138
Croatia,HRV,1996,4780.21
Croatia,HRV,1997,3588.681
Croatia,HRV,1998,3726.999
Croatia,HRV,1999,4568.75
Croatia,HRV,2000,4048.734
Croatia,HRV,2001,4495.851
Croatia,HRV,2002,3649.472
Croatia,HRV,2003,3387.916
Croatia,HRV,2004,4713.183
Croatia,HRV,2005,4337.716
Croatia,HRV,2006,4064.78
Croatia,HRV,2007,2887.654
Croatia,HRV,2008,3542.716
Croatia,HRV,2009,4525.341
Croatia,HRV,2010,5601.505
Croatia,HRV,2011,3177.905
Croatia,HRV,2012,3154.946
Croatia,HRV,2013,5552.258
Croatia,HRV,2014,5941.916
Croatia,HRV,2015,4488.194
Croatia,HRV,2016,4997.326
Croatia,HRV,2017,4252.753
Croatia,HRV,2018,5849.439
Croatia,HRV,2019,4925.61
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,2.024
Cyprus,CYP,2005,2.41
Cyprus,CYP,2006,3.864
Cyprus,CYP,2007,8.71
Cyprus,CYP,2008,37.464
Cyprus,CYP,2009,74.919
Cyprus,CYP,2010,171.013
Cyprus,CYP,2011,410.027
Cyprus,CYP,2012,583.234
Cyprus,CYP,2013,731.818
Cyprus,CYP,2014,702.502
Cyprus,CYP,2015,871.041
Cyprus,CYP,2016,912.761
Cyprus,CYP,2017,922.077
